SK_ID_CURR,Âge (ans),Sexe,Statut familial,Nbre enfants,Niveau éducation,Type revenu,Ancienneté emploi,Revenus ($)
182624,62,Féminin,Widow,0,Secondary / secondary special,Pensioner,0,112500.0
182644,36,Féminin,Married,0,Secondary / secondary special,Working,7,225000.0
182686,23,Féminin,Single / not married,0,Secondary / secondary special,Working,1,202500.0
182687,59,Masculin,Civil marriage,0,Secondary / secondary special,Working,2,67500.0
182695,48,Masculin,Single / not married,0,Secondary / secondary special,Working,9,189000.0
182718,57,Féminin,Widow,0,Secondary / secondary special,Pensioner,0,225000.0
182726,41,Masculin,Married,1,Secondary / secondary special,Working,0,135000.0
182735,47,Féminin,Married,1,Incomplete higher,Commercial associate,14,135000.0
182742,35,Féminin,Married,1,Secondary / secondary special,Commercial associate,12,270000.0
182747,40,Féminin,Civil marriage,1,Secondary / secondary special,State servant,19,175500.0
182748,47,Féminin,Married,1,Secondary / secondary special,Working,8,225000.0
182752,49,Féminin,Separated,0,Higher education,Commercial associate,0,112500.0
182761,41,Féminin,Married,0,Secondary / secondary special,Working,1,247500.0
182800,44,Féminin,Married,0,Secondary / secondary special,Working,15,540000.0
182802,41,Féminin,Single / not married,0,Secondary / secondary special,Pensioner,0,30150.0
182807,44,Féminin,Civil marriage,0,Secondary / secondary special,Working,2,157500.0
182816,25,Masculin,Single / not married,0,Higher education,Working,1,180000.0
182818,46,Féminin,Civil marriage,0,Secondary / secondary special,Working,4,202500.0
182826,33,Masculin,Separated,0,Higher education,Commercial associate,1,180000.0
182836,52,Féminin,Married,0,Secondary / secondary special,Pensioner,0,202500.0
182840,22,Masculin,Single / not married,0,Secondary / secondary special,Working,1,112500.0
182841,31,Féminin,Single / not married,0,Secondary / secondary special,Commercial associate,2,157500.0
182846,44,Masculin,Married,0,Secondary / secondary special,Commercial associate,5,157500.0
182862,48,Féminin,Married,0,Secondary / secondary special,Working,0,90000.0
182864,48,Féminin,Married,0,Secondary / secondary special,Working,4,90000.0
182871,38,Masculin,Married,1,Secondary / secondary special,Working,3,112500.0
182878,37,Féminin,Married,1,Secondary / secondary special,Working,2,112500.0
182880,61,Masculin,Married,0,Secondary / secondary special,Pensioner,0,112500.0
182885,64,Masculin,Married,0,Higher education,Pensioner,0,180000.0
182893,55,Masculin,Married,0,Secondary / secondary special,Working,9,112500.0
182894,35,Masculin,Married,0,Secondary / secondary special,Working,11,121500.0
182895,42,Masculin,Single / not married,0,Secondary / secondary special,Working,12,225000.0
182901,45,Masculin,Married,0,Secondary / secondary special,Commercial associate,3,90000.0
182907,32,Masculin,Single / not married,0,Higher education,Working,2,180000.0
182921,37,Féminin,Married,1,Secondary / secondary special,Commercial associate,2,315000.0
182952,50,Féminin,Separated,0,Secondary / secondary special,Commercial associate,10,135000.0
182964,50,Féminin,Married,0,Secondary / secondary special,Working,4,180000.0
182966,44,Masculin,Single / not married,0,Secondary / secondary special,Working,0,180000.0
182980,47,Féminin,Married,2,Secondary / secondary special,Working,21,135000.0
182985,28,Masculin,Married,0,Secondary / secondary special,State servant,0,225000.0
182989,34,Masculin,Married,1,Secondary / secondary special,Working,3,270000.0
182994,39,Féminin,Civil marriage,0,Secondary / secondary special,Working,3,85500.0
183035,57,Masculin,Married,0,Secondary / secondary special,Working,11,135000.0
183037,29,Masculin,Married,1,Higher education,Commercial associate,2,157500.0
183042,57,Féminin,Separated,0,Higher education,Commercial associate,13,441000.0
183049,23,Masculin,Married,1,Higher education,State servant,3,180000.0
183050,50,Féminin,Married,0,Higher education,Working,20,157500.0
183051,45,Féminin,Married,1,Incomplete higher,State servant,11,225000.0
183062,42,Féminin,Single / not married,0,Higher education,Working,21,171000.0
183063,37,Masculin,Civil marriage,0,Secondary / secondary special,Commercial associate,1,90000.0
183064,36,Féminin,Married,2,Higher education,State servant,14,180000.0
183076,59,Féminin,Widow,0,Secondary / secondary special,Working,5,202500.0
183078,42,Masculin,Married,1,Secondary / secondary special,Working,1,135000.0
183086,54,Masculin,Married,0,Secondary / secondary special,Working,14,135000.0
183089,33,Féminin,Civil marriage,0,Secondary / secondary special,Working,2,126000.0
183091,61,Féminin,Married,0,Higher education,Pensioner,0,76500.0
183097,32,Féminin,Married,0,Higher education,State servant,9,135000.0
183104,50,Féminin,Married,0,Secondary / secondary special,State servant,1,67500.0
183118,38,Féminin,Married,0,Secondary / secondary special,Commercial associate,3,90000.0
183119,44,Féminin,Married,0,Secondary / secondary special,Commercial associate,6,135000.0
183134,43,Féminin,Married,0,Secondary / secondary special,Commercial associate,11,189000.0
183142,41,Féminin,Married,1,Secondary / secondary special,Working,3,112500.0
183157,35,Féminin,Married,2,Secondary / secondary special,Working,16,157500.0
183162,29,Féminin,Married,1,Secondary / secondary special,Working,0,112500.0
183180,38,Féminin,Married,0,Secondary / secondary special,Commercial associate,11,405000.0
183193,40,Féminin,Married,1,Secondary / secondary special,Working,21,202500.0
183213,59,Masculin,Married,0,Secondary / secondary special,Pensioner,0,112500.0
183216,36,Féminin,Civil marriage,0,Secondary / secondary special,Commercial associate,5,153729.0
183223,33,Féminin,Civil marriage,0,Secondary / secondary special,Working,9,121500.0
183226,53,Féminin,Married,0,Secondary / secondary special,Working,24,175500.0
183264,30,Masculin,Married,1,Secondary / secondary special,Commercial associate,10,148500.0
183273,54,Masculin,Married,0,Secondary / secondary special,Pensioner,0,180000.0
183278,65,Féminin,Married,0,Secondary / secondary special,Pensioner,0,117000.0
183282,30,Féminin,Single / not married,0,Higher education,Working,3,360000.0
183283,38,Féminin,Separated,1,Secondary / secondary special,Working,2,121500.0
183286,46,Féminin,Single / not married,0,Higher education,Working,0,202500.0
183288,42,Féminin,Separated,0,Secondary / secondary special,Working,2,144000.0
183299,46,Masculin,Married,1,Higher education,Commercial associate,5,225000.0
183310,52,Masculin,Married,0,Higher education,Working,15,405000.0
183315,31,Féminin,Married,1,Secondary / secondary special,Commercial associate,6,540000.0
183332,57,Masculin,Single / not married,0,Higher education,Pensioner,0,180000.0
183336,36,Féminin,Married,0,Secondary / secondary special,Working,3,180000.0
183341,49,Féminin,Married,0,Higher education,Commercial associate,14,225000.0
183342,62,Féminin,Single / not married,0,Secondary / secondary special,Pensioner,0,112500.0
183345,29,Féminin,Married,1,Higher education,Working,5,166500.0
183347,63,Féminin,Widow,0,Secondary / secondary special,Pensioner,0,193500.0
183360,31,Masculin,Married,1,Secondary / secondary special,Working,0,90000.0
183362,49,Féminin,Separated,0,Secondary / secondary special,Commercial associate,12,225000.0
183370,40,Féminin,Married,0,Secondary / secondary special,Commercial associate,3,135000.0
183379,59,Féminin,Married,0,Secondary / secondary special,Pensioner,0,202500.0
183386,40,Féminin,Separated,1,Incomplete higher,Working,0,135000.0
183410,49,Féminin,Married,0,Higher education,Commercial associate,3,270000.0
183417,25,Masculin,Civil marriage,0,Higher education,Commercial associate,3,157500.0
183419,46,Féminin,Separated,1,Higher education,Working,3,144000.0
183421,58,Féminin,Married,0,Secondary / secondary special,Working,39,225000.0
183425,52,Féminin,Civil marriage,1,Secondary / secondary special,Working,2,225000.0
183427,53,Féminin,Married,0,Secondary / secondary special,Working,17,171000.0
183433,25,Féminin,Single / not married,0,Secondary / secondary special,Working,5,135000.0
183434,27,Masculin,Civil marriage,0,Incomplete higher,Working,2,135000.0
183438,48,Féminin,Married,0,Lower secondary,Working,7,180000.0
183439,32,Masculin,Married,3,Secondary / secondary special,Commercial associate,3,135000.0
183440,27,Féminin,Married,1,Secondary / secondary special,Working,3,90000.0
183450,30,Masculin,Civil marriage,1,Higher education,Working,3,202500.0
183451,33,Masculin,Married,0,Secondary / secondary special,Commercial associate,1,225000.0
183453,23,Féminin,Single / not married,0,Higher education,Commercial associate,0,90000.0
183454,46,Masculin,Married,0,Higher education,Working,2,225000.0
183455,31,Féminin,Married,2,Secondary / secondary special,Working,3,112500.0
183457,55,Masculin,Married,0,Secondary / secondary special,Pensioner,0,67500.0
183463,28,Féminin,Single / not married,1,Higher education,State servant,2,225000.0
183475,47,Féminin,Married,0,Higher education,Commercial associate,1,225000.0
183478,34,Féminin,Separated,0,Secondary / secondary special,Working,1,135000.0
183480,36,Féminin,Married,2,Higher education,Working,3,90000.0
183490,41,Féminin,Married,0,Incomplete higher,Working,8,216000.0
183494,56,Féminin,Married,0,Lower secondary,Pensioner,0,202500.0
183503,53,Féminin,Civil marriage,0,Secondary / secondary special,Pensioner,0,202500.0
183512,42,Masculin,Married,1,Secondary / secondary special,Working,8,130500.0
183517,27,Masculin,Single / not married,0,Higher education,Working,1,180000.0
183530,27,Masculin,Single / not married,0,Secondary / secondary special,Commercial associate,4,112500.0
183532,28,Masculin,Single / not married,0,Secondary / secondary special,Commercial associate,2,202500.0
183533,33,Féminin,Single / not married,1,Secondary / secondary special,State servant,6,135000.0
183536,64,Féminin,Separated,0,Secondary / secondary special,Working,4,90000.0
183545,44,Masculin,Married,0,Incomplete higher,Working,10,202500.0
183549,40,Féminin,Married,0,Secondary / secondary special,Working,8,135000.0
183550,38,Féminin,Married,0,Secondary / secondary special,State servant,2,135000.0
183551,33,Féminin,Separated,1,Higher education,Working,2,225000.0
183555,22,Féminin,Married,1,Secondary / secondary special,Commercial associate,2,130500.0
183560,54,Féminin,Civil marriage,0,Secondary / secondary special,Commercial associate,3,202500.0
183585,52,Féminin,Single / not married,0,Secondary / secondary special,Pensioner,0,157500.0
183591,29,Féminin,Separated,1,Secondary / secondary special,Commercial associate,5,180000.0
183592,35,Féminin,Married,0,Secondary / secondary special,Commercial associate,6,144000.0
183603,49,Féminin,Married,0,Secondary / secondary special,Commercial associate,5,225000.0
183610,52,Masculin,Married,0,Secondary / secondary special,Working,1,135000.0
183628,35,Masculin,Married,1,Secondary / secondary special,Commercial associate,4,270000.0
183644,44,Féminin,Married,0,Higher education,Working,8,126000.0
183646,53,Féminin,Civil marriage,0,Secondary / secondary special,State servant,5,270000.0
183649,59,Féminin,Married,0,Secondary / secondary special,Pensioner,0,81000.0
183656,30,Féminin,Single / not married,1,Secondary / secondary special,Working,2,157500.0
183658,38,Féminin,Married,0,Secondary / secondary special,Working,4,90000.0
183688,32,Masculin,Married,1,Secondary / secondary special,Working,7,360000.0
183690,53,Féminin,Married,0,Secondary / secondary special,Working,5,180000.0
183691,43,Masculin,Married,2,Secondary / secondary special,Working,7,157500.0
183697,38,Masculin,Married,0,Secondary / secondary special,Working,5,121500.0
183709,55,Masculin,Married,0,Secondary / secondary special,Working,5,180000.0
183711,40,Masculin,Married,0,Secondary / secondary special,Commercial associate,0,315000.0
183714,26,Masculin,Single / not married,0,Incomplete higher,Working,2,112500.0
183725,51,Féminin,Married,0,Secondary / secondary special,Commercial associate,6,180000.0
183736,35,Masculin,Married,2,Secondary / secondary special,Working,0,180000.0
183742,56,Féminin,Married,0,Secondary / secondary special,Pensioner,0,315000.0
183772,64,Masculin,Married,0,Secondary / secondary special,Pensioner,0,270000.0
183776,40,Féminin,Civil marriage,1,Secondary / secondary special,Working,5,112500.0
183787,44,Féminin,Separated,0,Secondary / secondary special,Working,3,126000.0
183792,48,Féminin,Married,0,Secondary / secondary special,Working,2,58500.0
183793,50,Féminin,Married,0,Higher education,State servant,7,180000.0
183799,28,Féminin,Married,1,Higher education,Working,3,112500.0
183816,23,Féminin,Single / not married,0,Secondary / secondary special,Working,0,112500.0
183818,29,Masculin,Single / not married,0,Secondary / secondary special,Working,5,112500.0
183832,36,Masculin,Married,0,Higher education,Working,16,112500.0
183836,52,Féminin,Separated,0,Secondary / secondary special,Working,3,126000.0
183839,46,Féminin,Married,0,Secondary / secondary special,Working,12,54000.0
183840,27,Féminin,Married,1,Higher education,Commercial associate,0,337500.0
183855,54,Féminin,Civil marriage,0,Incomplete higher,State servant,13,225000.0
183857,41,Masculin,Married,0,Secondary / secondary special,Commercial associate,8,211500.0
183863,37,Féminin,Married,0,Secondary / secondary special,Commercial associate,0,135000.0
183866,41,Masculin,Married,1,Secondary / secondary special,Commercial associate,8,180000.0
183876,28,Masculin,Single / not married,2,Secondary / secondary special,Working,1,225000.0
183878,52,Féminin,Married,0,Secondary / secondary special,Working,14,112500.0
183897,49,Féminin,Civil marriage,0,Higher education,Working,15,351000.0
183902,60,Masculin,Married,0,Secondary / secondary special,Pensioner,0,360000.0
183915,39,Féminin,Married,2,Secondary / secondary special,Working,6,144000.0
183925,52,Masculin,Civil marriage,0,Secondary / secondary special,Commercial associate,0,112500.0
183936,64,Féminin,Married,0,Secondary / secondary special,Working,25,90000.0
183939,43,Masculin,Married,0,Secondary / secondary special,Working,4,153000.0
183951,56,Féminin,Married,0,Higher education,Working,4,270000.0
183956,60,Féminin,Separated,0,Secondary / secondary special,Pensioner,0,153000.0
183957,57,Féminin,Civil marriage,0,Secondary / secondary special,Pensioner,0,85500.0
183974,59,Féminin,Single / not married,0,Secondary / secondary special,Pensioner,0,99000.0
183982,60,Féminin,Separated,0,Secondary / secondary special,Pensioner,0,56250.0
183994,36,Féminin,Single / not married,0,Secondary / secondary special,Working,9,90000.0
184008,59,Féminin,Married,0,Higher education,Pensioner,0,130500.0
184013,30,Masculin,Married,2,Secondary / secondary special,Working,5,225000.0
184016,46,Féminin,Single / not married,0,Secondary / secondary special,Working,4,121500.0
184019,36,Masculin,Single / not married,0,Secondary / secondary special,Working,15,270000.0
184024,59,Masculin,Married,0,Higher education,Working,14,441000.0
184025,59,Féminin,Married,0,Secondary / secondary special,Pensioner,0,90000.0
184038,57,Féminin,Married,0,Secondary / secondary special,Pensioner,0,63000.0
184045,56,Masculin,Civil marriage,0,Secondary / secondary special,Working,7,67500.0
184056,65,Féminin,Widow,0,Higher education,Pensioner,0,270000.0
184060,63,Féminin,Married,0,Incomplete higher,Pensioner,0,193500.0
184071,64,Féminin,Married,1,Academic degree,Pensioner,0,112500.0
184073,35,Masculin,Single / not married,0,Secondary / secondary special,Working,5,135000.0
184074,36,Féminin,Married,2,Higher education,Working,1,225000.0
184077,41,Féminin,Married,1,Higher education,Working,18,157500.0
184105,34,Masculin,Single / not married,0,Higher education,Working,7,225000.0
184106,49,Féminin,Married,0,Secondary / secondary special,Working,12,180000.0
184133,32,Féminin,Married,1,Secondary / secondary special,Working,11,157500.0
184154,45,Féminin,Married,0,Secondary / secondary special,Working,0,112500.0
184163,54,Féminin,Married,0,Secondary / secondary special,Pensioner,0,37800.0
184165,22,Masculin,Single / not married,0,Higher education,Working,1,207000.0
184193,46,Féminin,Married,0,Secondary / secondary special,Pensioner,0,148500.0
184194,33,Masculin,Separated,0,Secondary / secondary special,Working,2,112500.0
184195,52,Féminin,Single / not married,0,Secondary / secondary special,Working,20,54000.0
184202,53,Masculin,Married,0,Secondary / secondary special,Pensioner,0,76500.0
184226,45,Féminin,Married,0,Secondary / secondary special,Working,5,157500.0
184230,56,Féminin,Married,0,Secondary / secondary special,Pensioner,0,180000.0
184231,34,Masculin,Civil marriage,1,Secondary / secondary special,Working,3,225000.0
184234,27,Féminin,Single / not married,1,Secondary / secondary special,Working,2,202500.0
184238,60,Féminin,Married,0,Higher education,Pensioner,0,180000.0
184248,66,Féminin,Widow,0,Secondary / secondary special,Pensioner,0,135000.0
184257,64,Féminin,Married,0,Secondary / secondary special,Pensioner,0,157500.0
184268,61,Féminin,Single / not married,0,Secondary / secondary special,Working,0,193500.0
184282,49,Féminin,Married,0,Higher education,Working,18,121500.0
184291,50,Masculin,Widow,0,Secondary / secondary special,Commercial associate,31,180000.0
184294,51,Féminin,Married,0,Secondary / secondary special,Pensioner,0,112500.0
184295,30,Masculin,Married,2,Secondary / secondary special,Working,9,180000.0
184304,55,Féminin,Married,0,Secondary / secondary special,Pensioner,0,175500.0
184309,48,Féminin,Married,0,Secondary / secondary special,Commercial associate,19,117000.0
184318,31,Féminin,Married,0,Secondary / secondary special,Working,0,76500.0
184325,55,Féminin,Married,0,Secondary / secondary special,Pensioner,0,67500.0
184329,49,Féminin,Married,0,Secondary / secondary special,Working,8,441000.0
184330,48,Féminin,Married,1,Secondary / secondary special,Working,5,180000.0
184333,61,Féminin,Married,0,Secondary / secondary special,Pensioner,0,180000.0
184337,37,Féminin,Married,2,Higher education,Commercial associate,1,135000.0
184338,55,Masculin,Married,0,Higher education,Working,13,112500.0
184340,36,Féminin,Married,2,Secondary / secondary special,Working,7,292500.0
184341,62,Féminin,Married,0,Secondary / secondary special,Pensioner,0,157500.0
184347,57,Féminin,Married,0,Secondary / secondary special,Pensioner,0,81000.0
184354,43,Féminin,Married,0,Secondary / secondary special,Working,9,180000.0
184355,30,Féminin,Single / not married,2,Higher education,Working,1,135000.0
184372,34,Féminin,Married,1,Secondary / secondary special,Working,1,90000.0
184384,35,Féminin,Married,1,Higher education,Working,5,157500.0
184385,53,Féminin,Married,0,Secondary / secondary special,Pensioner,0,103500.0
184386,37,Masculin,Married,1,Secondary / secondary special,State servant,11,225000.0
184389,32,Féminin,Married,1,Secondary / secondary special,Working,2,225000.0
184401,42,Féminin,Married,0,Incomplete higher,Working,20,135000.0
184405,31,Féminin,Married,1,Secondary / secondary special,Working,5,112500.0
184431,25,Féminin,Married,0,Secondary / secondary special,State servant,3,112500.0
184450,36,Féminin,Married,2,Higher education,Commercial associate,0,216000.0
184453,24,Masculin,Single / not married,0,Secondary / secondary special,Working,6,90000.0
184470,50,Masculin,Married,0,Secondary / secondary special,Commercial associate,18,157500.0
184471,62,Féminin,Married,0,Secondary / secondary special,Pensioner,0,180000.0
184486,53,Masculin,Married,0,Secondary / secondary special,Working,1,225000.0
184488,66,Féminin,Widow,0,Secondary / secondary special,Pensioner,0,58500.0
184489,31,Féminin,Married,1,Secondary / secondary special,Working,0,180000.0
184497,36,Féminin,Civil marriage,1,Secondary / secondary special,Commercial associate,2,112500.0
184508,60,Féminin,Widow,0,Secondary / secondary special,Pensioner,0,81000.0
184509,34,Féminin,Separated,1,Higher education,Commercial associate,3,270000.0
184516,33,Féminin,Married,0,Higher education,Commercial associate,5,292500.0
184525,41,Masculin,Married,0,Secondary / secondary special,Working,8,225000.0
184526,25,Masculin,Civil marriage,0,Incomplete higher,Working,3,90000.0
184531,38,Féminin,Married,2,Secondary / secondary special,Commercial associate,7,90000.0
184557,31,Féminin,Married,1,Secondary / secondary special,Working,0,139500.0
184576,56,Féminin,Married,0,Secondary / secondary special,Pensioner,0,67500.0
184589,38,Masculin,Married,0,Higher education,Commercial associate,18,225000.0
184605,44,Féminin,Married,0,Secondary / secondary special,Commercial associate,16,157500.0
184613,52,Féminin,Widow,1,Secondary / secondary special,Working,2,85500.0
184630,59,Féminin,Single / not married,0,Secondary / secondary special,Pensioner,0,180000.0
184635,51,Féminin,Married,0,Secondary / secondary special,Working,5,225000.0
184636,31,Féminin,Married,0,Higher education,Commercial associate,3,225000.0
184643,30,Féminin,Married,2,Secondary / secondary special,Working,7,90000.0
184645,42,Féminin,Married,0,Secondary / secondary special,State servant,19,45000.0
184653,44,Féminin,Single / not married,1,Secondary / secondary special,Commercial associate,4,135000.0
184655,38,Masculin,Civil marriage,0,Secondary / secondary special,Pensioner,0,517500.0
184656,55,Masculin,Married,0,Higher education,Working,0,135000.0
184660,55,Masculin,Married,0,Secondary / secondary special,Working,3,135000.0
184716,43,Masculin,Married,0,Secondary / secondary special,Working,6,157500.0
184736,52,Féminin,Married,0,Secondary / secondary special,State servant,12,135000.0
184758,29,Masculin,Civil marriage,2,Secondary / secondary special,Working,4,270000.0
184767,28,Masculin,Single / not married,0,Secondary / secondary special,Commercial associate,7,180000.0
184770,65,Masculin,Married,0,Higher education,Pensioner,0,171000.0
184773,45,Féminin,Married,0,Higher education,Working,1,315000.0
184776,49,Féminin,Civil marriage,0,Secondary / secondary special,Commercial associate,0,144000.0
184792,27,Féminin,Single / not married,0,Secondary / secondary special,Working,4,135000.0
184812,29,Féminin,Married,0,Higher education,State servant,5,400500.0
184820,59,Féminin,Separated,0,Higher education,Commercial associate,0,112500.0
184829,57,Masculin,Married,1,Higher education,Working,13,126000.0
184831,44,Masculin,Married,3,Higher education,Commercial associate,0,675000.0
184832,24,Féminin,Civil marriage,0,Higher education,Commercial associate,1,323788.5
184834,47,Masculin,Married,1,Secondary / secondary special,Commercial associate,25,202500.0
184847,46,Féminin,Married,0,Secondary / secondary special,Working,2,67500.0
184848,61,Féminin,Married,0,Secondary / secondary special,Pensioner,0,382500.0
184858,40,Masculin,Married,2,Secondary / secondary special,Working,19,202500.0
184866,52,Masculin,Married,0,Secondary / secondary special,Working,2,225000.0
184869,44,Féminin,Separated,0,Secondary / secondary special,Commercial associate,3,81000.0
184870,61,Masculin,Married,0,Secondary / secondary special,Pensioner,0,193500.0
184873,48,Féminin,Married,1,Higher education,State servant,25,292500.0
184874,43,Féminin,Married,0,Secondary / secondary special,Working,4,148500.0
184876,54,Féminin,Single / not married,1,Secondary / secondary special,Pensioner,0,202500.0
184879,29,Féminin,Married,0,Secondary / secondary special,Commercial associate,1,49500.0
184880,55,Masculin,Single / not married,0,Incomplete higher,Working,0,225000.0
184885,50,Féminin,Married,0,Secondary / secondary special,Working,1,112500.0
184896,36,Féminin,Civil marriage,0,Incomplete higher,Working,4,270000.0
184916,43,Masculin,Married,0,Secondary / secondary special,Working,4,315000.0
184918,30,Féminin,Married,0,Secondary / secondary special,Working,3,135000.0
184919,47,Féminin,Married,0,Secondary / secondary special,Working,2,157500.0
184921,32,Féminin,Married,0,Secondary / secondary special,Working,3,157500.0
184936,55,Féminin,Married,0,Secondary / secondary special,Pensioner,0,225000.0
184944,64,Masculin,Married,0,Secondary / secondary special,Working,0,202500.0
184956,38,Féminin,Married,0,Higher education,State servant,5,157500.0
184963,45,Féminin,Married,0,Secondary / secondary special,Working,8,112500.0
184964,41,Féminin,Civil marriage,2,Higher education,State servant,5,135000.0
184965,59,Féminin,Separated,0,Secondary / secondary special,Pensioner,0,225000.0
184972,26,Féminin,Married,0,Secondary / secondary special,State servant,5,157500.0
184977,57,Féminin,Married,0,Secondary / secondary special,Pensioner,0,67500.0
184982,23,Féminin,Single / not married,0,Secondary / secondary special,Working,1,76500.0
184988,41,Féminin,Married,1,Higher education,Commercial associate,3,112500.0
184992,44,Masculin,Married,0,Secondary / secondary special,Working,6,112500.0
184994,58,Féminin,Married,0,Higher education,Pensioner,0,180000.0
184998,23,Féminin,Single / not married,0,Secondary / secondary special,Commercial associate,1,135000.0
185017,51,Féminin,Married,0,Higher education,Working,0,189000.0
185024,42,Féminin,Single / not married,1,Secondary / secondary special,Commercial associate,11,202500.0
185032,41,Féminin,Married,0,Secondary / secondary special,Working,15,67500.0
185037,49,Féminin,Married,0,Secondary / secondary special,Commercial associate,2,121500.0
185040,42,Féminin,Married,0,Incomplete higher,Commercial associate,9,225000.0
185043,47,Féminin,Separated,0,Secondary / secondary special,State servant,10,180000.0
185048,61,Féminin,Married,0,Secondary / secondary special,Working,10,180000.0
185059,66,Féminin,Separated,0,Secondary / secondary special,Pensioner,0,225000.0
185076,28,Féminin,Married,0,Secondary / secondary special,Working,5,157500.0
185083,67,Féminin,Widow,0,Secondary / secondary special,Pensioner,0,180000.0
185090,28,Masculin,Married,0,Incomplete higher,State servant,2,225000.0
185099,61,Féminin,Separated,0,Secondary / secondary special,Pensioner,0,202500.0
185101,50,Féminin,Married,2,Higher education,State servant,9,157500.0
185106,24,Masculin,Married,0,Higher education,Working,0,135000.0
185121,29,Masculin,Civil marriage,0,Secondary / secondary special,Working,2,162000.0
185125,34,Féminin,Married,0,Secondary / secondary special,Commercial associate,0,180000.0
185126,37,Masculin,Married,0,Incomplete higher,Commercial associate,1,202500.0
185127,24,Féminin,Civil marriage,0,Secondary / secondary special,Working,2,180000.0
185153,49,Féminin,Married,0,Secondary / secondary special,Working,7,157500.0
185167,28,Masculin,Single / not married,0,Incomplete higher,Commercial associate,0,270000.0
185171,50,Masculin,Married,0,Secondary / secondary special,Working,3,157500.0
185178,40,Masculin,Married,2,Secondary / secondary special,Commercial associate,7,180000.0
185180,51,Féminin,Married,0,Secondary / secondary special,Working,2,121500.0
185181,52,Féminin,Married,0,Higher education,Working,9,180000.0
185183,46,Féminin,Married,0,Secondary / secondary special,Commercial associate,10,225000.0
185186,45,Féminin,Married,0,Secondary / secondary special,Commercial associate,1,157500.0
185187,33,Féminin,Married,2,Incomplete higher,Working,4,81000.0
185188,40,Féminin,Married,0,Incomplete higher,Working,19,157500.0
185189,64,Féminin,Married,0,Higher education,Pensioner,0,51750.0
185194,59,Féminin,Civil marriage,0,Secondary / secondary special,Pensioner,0,135000.0
185207,31,Masculin,Married,0,Secondary / secondary special,Working,5,112500.0
185209,49,Féminin,Married,1,Secondary / secondary special,Working,1,94500.0
185210,56,Masculin,Married,1,Secondary / secondary special,Working,33,135000.0
185212,48,Féminin,Married,0,Secondary / secondary special,Commercial associate,19,432000.0
185220,56,Féminin,Married,0,Secondary / secondary special,Pensioner,0,162000.0
185221,32,Masculin,Married,1,Higher education,State servant,0,247500.0
185230,48,Masculin,Married,0,Secondary / secondary special,Working,3,135000.0
185231,24,Féminin,Single / not married,0,Higher education,Working,4,126000.0
185245,62,Féminin,Widow,0,Higher education,Pensioner,0,202500.0
185249,44,Masculin,Married,2,Secondary / secondary special,Working,1,202500.0
185262,34,Féminin,Separated,1,Secondary / secondary special,Working,1,207000.0
185285,33,Féminin,Married,0,Secondary / secondary special,Working,9,202500.0
185286,63,Masculin,Married,0,Secondary / secondary special,Working,8,301500.0
185288,64,Masculin,Married,0,Secondary / secondary special,Pensioner,0,112500.0
185296,43,Féminin,Widow,0,Secondary / secondary special,Working,8,202500.0
185298,29,Masculin,Married,1,Incomplete higher,State servant,4,247500.0
185299,52,Féminin,Widow,0,Secondary / secondary special,Working,9,450000.0
185308,26,Féminin,Married,0,Higher education,Commercial associate,0,247500.0
185311,31,Féminin,Separated,1,Higher education,Commercial associate,5,112500.0
185313,44,Féminin,Married,0,Secondary / secondary special,Commercial associate,12,103500.0
185314,26,Féminin,Separated,1,Higher education,Working,0,157500.0
185332,35,Féminin,Married,3,Secondary / secondary special,Working,1,112500.0
185337,35,Féminin,Civil marriage,1,Secondary / secondary special,Working,16,270000.0
185338,46,Féminin,Married,0,Secondary / secondary special,Working,2,144000.0
185339,41,Masculin,Married,0,Secondary / secondary special,Working,20,202500.0
185341,54,Masculin,Single / not married,0,Secondary / secondary special,Working,27,121500.0
185342,52,Masculin,Married,0,Higher education,Working,2,450000.0
185344,27,Féminin,Married,2,Higher education,Commercial associate,8,121500.0
185349,24,Féminin,Married,0,Incomplete higher,Commercial associate,1,112500.0
185362,24,Féminin,Civil marriage,0,Higher education,Commercial associate,1,157500.0
185363,60,Féminin,Widow,0,Secondary / secondary special,State servant,1,103500.0
185394,67,Féminin,Separated,0,Secondary / secondary special,Pensioner,0,153000.0
185410,31,Féminin,Married,1,Higher education,Working,0,112500.0
185418,51,Masculin,Civil marriage,0,Secondary / secondary special,Working,27,675000.0
185423,59,Féminin,Married,0,Secondary / secondary special,Pensioner,0,67500.0
185428,40,Féminin,Civil marriage,1,Secondary / secondary special,Working,1,243000.0
185442,54,Masculin,Single / not married,0,Secondary / secondary special,Commercial associate,3,225000.0
185447,33,Féminin,Married,1,Secondary / secondary special,Working,5,157500.0
185450,28,Masculin,Married,1,Higher education,Working,5,315000.0
185454,61,Féminin,Separated,0,Higher education,Commercial associate,17,157500.0
185475,22,Féminin,Single / not married,0,Higher education,Commercial associate,0,135000.0
185481,24,Masculin,Civil marriage,1,Secondary / secondary special,Working,3,382500.0
185483,62,Féminin,Married,0,Secondary / secondary special,Pensioner,0,90000.0
185485,63,Féminin,Civil marriage,0,Secondary / secondary special,Pensioner,0,135000.0
185496,41,Féminin,Married,0,Secondary / secondary special,Working,2,103500.0
185504,37,Féminin,Married,0,Secondary / secondary special,Working,16,64800.0
